,Marque,Référence annonce,Nom,Modèle,Prix,Année,Contrôle technique,Énergie,Boîte de vitesse,Couleur extérieure,Couleur intérieure,Nombre de portes,Nombre de places,Première main (déclaratif),Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Norme Euro,Éligible prime à la conversion,Kilométrage compteur km,Garantie,Nombre de propriétaires,Garantie constructeur,Vérifié & Garanti,Provenance
9,Ford,E105573640,FORD S-MAX II 2.0 TDCI 150 S&S TITANIUM POWERSHIFT,S-MAX 2,19900,2017,non requis,Diesel,automatique,gris clair,noir,5,7,non,8 CV,150 ch,2,129 g/kmC,EURO6,Non,62575,6 mois,,,,
10,Ford,E106278662,FORD GRAND C-MAX II 1.6 TDCI 115 FAP TITANIUM BVM6,GRAND C-MAX 2,8990,2011,requis,Diesel,mécanique,noir,,5,7,non,6 CV,115 ch,2,124 g/kmC,EURO5,Non,116500,,,,,
11,Ford,E106248528,FORD FIESTA V (2) 1.0 ECOBOOST 140 S&S RED EDITION 3P,FIESTA 5,9990,2015,requis,Essence,mécanique,rouge,,3,5,non,7 CV,140 ch,1,99 g/kmA,EURO6,Oui,54272,12 mois,,,,
12,Ford,W101707764,FORD B-MAX 1.0 ECOBOOST S&S 125 TITANIUM BVM,B-MAX,9500,2014,requis,Essence,mécanique,blanc verni,tissu noir,5,5,non,6 CV,125 ch,1,114 g/kmB,EURO5,Oui,53561,6 mois,2,,,
13,Ford,E106218394,FORD ECOSPORT (2) 1.0 ECOBOOST 125 6CV ST LINE,ECOSPORT,15950,2018,non requis,Essence,mécanique,gris clair,,5,5,oui,6 CV,125 ch,1,120 g/kmB,EURO6,Non,17810,,,en cours,,
14,Ford,W101685566,FORD TOURNEO CONNECT II 1.6 TD 95 TREND,TOURNEO CONNECT 2,8490,2015,non requis,Diesel,mécanique,gris foncé metal,tissu noir,5,5,non,5 CV,95 ch,2,130 g/kmC,EURO5,Non,109528,3 mois,2,,,
15,Ford,W101688102,FORD FOCUS III 1.6 TDCI 105 ECONETIC TECHNOLOGY 88G TITANIUM,FOCUS 3,8490,2013,requis,Diesel,mécanique,blanc opaque (verni sans reflet),tissu noir,5,5,oui,5 CV,105 ch,2,88 g/kmA,EURO5,Non,94015,3 mois,1,,,
16,Ford,B101111804,FORD MUSTANG 4.9 V8 302 CI,MUSTANG COUPE,34900,1969,requis,Essence,automatique,beige verni,simili cuir beige,3,,non,28 CV,0 ch,,0 g/kmA,,Non,19800,,,,,
1,Mercedes,E105999637,MERCEDES GLC COUPE 220 D SPORTLINE 4MATIC,GLC COUPE,40890,2016,non requis,Diesel,automatique,noir,noir,5,5,non,9 CV,170 ch,2,131 g/kmC,EURO6,Non,22900,,,,,
2,Mercedes,W101710834,MERCEDES CLASSE A III 180 SENSATION,CLASSE A 3,13980,2012,requis,Essence,mécanique,noir metal,cuir fauve,5,5,non,7 CV,122 ch,1,131 g/kmC,EURO5,Non,73200,6 mois,,,,
3,Mercedes,E106141112,MERCEDES CLA (2) 180 D FASCINATION 7G-DCT,CLA,23980,2017,non requis,Diesel,automatique,blanc,noir,4,5,non,5 CV,109 ch,2,104 g/kmB,EURO6,Non,61533,,,,,
